#This annotation file adds more informative labels for nodes, replacing the accession number with the virus' name.

LABELS

SEPARATOR TAB

DATA

MT863727	Campylobacter phage F370 (MT863727)
MT863726	Campylobacter phage F368 (MT863726)
MT863725	Campylobacter phage F367 (MT863725)
MT863724	Campylobacter phage F365 (MT863724)
MT863723	Campylobacter phage F361 (MT863723)
MT863722	Campylobacter phage F360 (MT863722)
MT863721	Campylobacter phage F358 (MT863721)
MT863720	Campylobacter phage F357 (MT863720)
MT863719	Campylobacter phage F356 (MT863719)
MT863718	Campylobacter phage F355 (MT863718)
MT863717	Campylobacter phage F352 (MT863717)
MT863716	Campylobacter phage F348 (MT863716)
MT863715	Campylobacter phage F336 (MT863715)
MT863714	Campylobacter phage F207 (MT863714)
MW055915	Mycobacterium phage Plumbus (MW055915)
MW055914	Microbacterium phage Xitlalli (MW055914)
MW055913	Arthrobacter phage Wollypog (MW055913)
MW055912	Arthrobacter phage Truckee (MW055912)
MW055911	Microbacterium phage Thorongil (MW055911)
MW055910	Arthrobacter phage Tbone (MW055910)
MW055909	Microbacterium phage Namsahir (MW055909)
MW055908	Gordonia phage Lamberg (MW055908)
MW055907	Microbacterium phage JoBros (MW055907)
MW055906	Mycobacterium phage Indlovu (MW055906)
MW055905	Streptomyces phage Indigenous (MW055905)
MW055904	Mycobacterium phage Flaverint (MW055904)
MW055903	Microbacterium phage DannyDe (MW055903)
MW055902	Mycobacterium phage Camster (MW055902)
MW055901	Gordonia phage Bunker (MW055901)
NC_050154	Escherichia phage D6 (NC_050154)
NC_050153	Escherichia phage vB_EcoM-Ro157c2YLVW (NC_050153)
NC_050152	Enterobacteria phage P7 (NC_050152)
NC_050151	Pseudomonas phage crassa (NC_050151)
NC_050150	Pseudomonas phage antinowhere (NC_050150)
NC_050149	Pseudomonas phage vB_PaeM_USP_1 (NC_050149)
NC_050148	Pseudomonas virus Pa193 (NC_050148)
NC_050147	Pseudomonas phage Epa13 (NC_050147)
NC_050146	Pseudomonas phage Epa7 (NC_050146)
NC_050145	Pseudomonas phage PaGU11 (NC_050145)
NC_050144	Pseudomonas phage Epa14 (NC_050144)
NC_050143	Pseudomonas phage datas (NC_050143)
NC_049977	Bacteroides phage crAss001 (NC_049977)
NC_049976	Bacillus phage Nf (NC_049976)
NC_049975	Bacillus phage vB_BsuP-Goe1 (NC_049975)
NC_049974	Bacillus phage Gxv1 (NC_049974)
NC_049973	Bacillus virus SRT01hs (NC_049973)
NC_049972	Bacillus phage vB_Bpu_PumA2 (NC_049972)
NC_049971	Bacillus phage vB_Bpu_PumA1 (NC_049971)
NC_049970	Bacillus phage Karezi (NC_049970)
NC_049969	Bacillus phage DK3 (NC_049969)
NC_049968	Bacillus phage DK2 (NC_049968)
NC_049967	Bacillus phage DK1 (NC_049967)
NC_049966	Bacillus phage vB_BthP-Goe4 (NC_049966)
NC_049965	Bacillus phage vB_BveP-Goe6 (NC_049965)
NC_049964	Bacillus phage KonjoTrouble (NC_049964)
NC_049963	Bacillus phage Juan (NC_049963)
NC_049962	Bacillus phage SerPounce (NC_049962)
NC_049961	Bacillus phage BeachBum (NC_049961)
NC_049960	Bacillus phage Harambe (NC_049960)
NC_049959	Bacillus phage QCM11 (NC_049959)
NC_049955	Escherichia phage Lambda_ev243 (NC_049955)
NC_049954	Escherichia virus Lambda_2G7b (NC_049954)
NC_049953	Escherichia phage Lambda_ev099 (NC_049953)
NC_049952	Escherichia virus Lambda_2B8 (NC_049952)
NC_049951	Enterobacteria phage O276 (NC_049951)
NC_049950	Escherichia virus Lambda_2H10 (NC_049950)
NC_049949	Escherichia phage Lambda_ev207 (NC_049949)
NC_049948	Escherichia phage Lambda_ev017 (NC_049948)
NC_049946	Escherichia virus Lambda_4A7 (NC_049946)
NC_049945	Stx2-converting phage Stx2a_WGPS6 (NC_049945)
NC_049944	Stx2-converting phage Stx2a_WGPS8 (NC_049944)
NC_049943	Enterobacteria phage 2851 (NC_049943)
NC_049942	Escherichia phage JLK-2012 (NC_049942)
NC_049941	Stx2-converting phage Stx2a_WGPS2 (NC_049941)
NC_049940	Enterococcus phage vB_EfaP_Ef7.4 (NC_049940)
NC_049939	Enterococcus phage vB_EfaP_Ef7.3 (NC_049939)
NC_049938	Enterococcus phage vB_EfaP_Efmus1 (NC_049938)
NC_049937	Enterococcus phage Idefix (NC_049937)
NC_049936	Enterococcus phage vB_EfaP_Efmus3 (NC_049936)
NC_049935	Enterococcus phage vB_EfaP_Efmus4 (NC_049935)
NC_049934	Enterococcus phage vB_EfaP_Ef7.2 (NC_049934)
NC_049933	Enterococcus phage vB_EfaP_Ef6.3 (NC_049933)
NC_049932	Enterococcus phage vB_EfaP_Ef6.2 (NC_049932)
NC_049931	Enterococcus phage vB_EfaP_IME199 (NC_049931)
NC_049930	Enterococcus phage vB_EfaP_Zip (NC_049930)
NC_049929	Microbacterium phage Teagan (NC_049929)
NC_049928	Microbacterium phage MonChoix (NC_049928)
NC_049927	Microbacterium phage McGalleon (NC_049927)
NC_049926	Escherichia phage ECP1 (NC_049926)
NC_049925	Stx converting phage vB_EcoS_P27 (NC_049925)
NC_049924	Stx2-converting phage Stx2a_F451 (NC_049924)
NC_049923	Stx2-converting phage Stx2a_WGPS9 (NC_049923)
NC_049922	Stx converting phage vB_EcoS_ST2-8624 (NC_049922)
NC_049921	Stx1 converting phage AU6Stx1 (NC_049921)
NC_049920	Stx1 converting phage AU5Stx1 (NC_049920)
NC_049919	Escherichia phage SH2026Stx1 (NC_049919)
NC_049918	Escherichia phage ArgO145 (NC_049918)
NC_049917	Escherichia phage Lys12581Vzw (NC_049917)
NC_049900	Listeria phage LP-HM00113468 (NC_049900)
NC_049857	Lactococcus phage P1048 (NC_049857)
NC_049856	Lactococcus phage AM4 (NC_049856)
NC_049855	Lactococcus phage LW81 (NC_049855)
NC_049854	Lactococcus phage AM1 (NC_049854)
NC_049847	Klebsiella phage Sin4 (NC_049847)
NC_049839	Klebsiella phage Sweeny (NC_049839)
NC_049853	Escherichia phage Henu8 (NC_049853)
NC_049852	Escherichia phage egaa (NC_049852)
NC_049851	Burkholderia phage BcepSauron (NC_049851)
NC_049850	Burkholderia phage BcepSaruman (NC_049850)
NC_049849	Achromobacter phage Motura (NC_049849)
NC_049848	Klebsiella phage KP1801 (NC_049848)
NC_049846	Klebsiella phage Shelby (NC_049846)
NC_049845	Klebsiella phage PhiKpNIH-2 (NC_049845)
NC_049844	Klebsiella phage 13 (NC_049844)
NC_049843	Klebsiella phage JY917 (NC_049843)
NC_049842	Klebsiella phage vB_KpnS_15-38_KLPPOU149 (NC_049842)
NC_049841	Klebsiella phage Skenny (NC_049841)
NC_049840	Klebsiella phage vB_KpnS_FZ10 (NC_049840)
NC_049838	Klebsiella phage KL (NC_049838)
NC_049837	Klebsiella phage vB_KpnS_Alina (NC_049837)
NC_049836	Klebsiella phage vB_KpnS_Call (NC_049836)
NC_049835	Klebsiella phage vB_KpnS_Domnhall (NC_049835)
NC_049834	Klebsiella phage vB_KpnS_IMGroot (NC_049834)
NC_049833	Klebsiella phage vB_KpnS_SegesCirculi (NC_049833)
NC_049832	Escherichia phage vB_EcoS-DELF2 (NC_049832)
NC_049831	Shigella virus Sfin-3 (NC_049831)
NC_049830	Escherichia phage PGN590 (NC_049830)
NC_049829	Escherichia phage aalborv (NC_049829)
NC_049828	Escherichia phage haarsle (NC_049828)
NC_049827	Escherichia phage damhaus (NC_049827)
NC_049826	Escherichia phage aaroes (NC_049826)
NC_049825	Escherichia phage grams (NC_049825)
NC_049824	Escherichia phage vojen (NC_049824)
NC_049823	Escherichia phage herni (NC_049823)
NC_049822	Escherichia phage vB_EcoS_G29-2 (NC_049822)
NC_049821	Salmonella phage slyngel (NC_049821)
NC_049820	Shigella virus 2019SD1 (NC_049820)
NC_049819	Escherichia phage atuna (NC_049819)
NC_049818	Escherichia phage tonijn (NC_049818)
NC_049817	Escherichia phage tonnikala (NC_049817)
NC_049816	Escherichia phage tunus (NC_049816)
NC_049815	Escherichia phage tonn (NC_049815)
NC_049814	Shigella phage JK16 (NC_049814)
NC_049813	Escherichia phage vB_EcoS-12210I (NC_049813)
NC_049812	Lactococcus phage P1045 (NC_049812)
NC_049811	Lactococcus phage 62503 (NC_049811)
NC_049810	Lactococcus phage 50902 (NC_049810)
NC_049809	Lactococcus phage Q33 (NC_049809)
NC_049808	Lactococcus phage P596 (NC_049808)
NC_049807	Lactococcus phage AM6 (NC_049807)
NC_049806	Lactococcus phage LW31 (NC_049806)
NC_049805	Lactococcus phage phiQ1 (NC_049805)
NC_023601	Pseudomonas phage phiPsa374 (NC_023601)
NC_049512	Salmonella phage SE14 (NC_049512)
NC_049511	Acinetobacter phage AM101 (NC_049511)
